,transcript,file,orf_count,cds_count,ratio,prob_uORF_init_rpb,prob_cds_init_rpb,prob_uORF_init_raw,prob_cds_init_raw,initiation_ratio,ratio_diff_init_minus_full
6,ENST00000298743,Park16_SRR3306589,707,1949,0.52,3.53,2.33,0.27,1.0,0.66,0.14
7,ENST00000298743,Park16_SRR3306588,98,2047,3.93,0.58,2.25,0.04,0.97,3.88,-0.05
8,ENST00000298743,Park16_SRR3306584,345,1020,0.56,3.32,2.3,0.26,0.99,0.69,0.13
0,ENST00000373930,Park16_SRR3306587,30,615,2.38,1.39,3.32,0.05,0.97,2.39,0.01
1,ENST00000373930,Park16_SRR3306583,154,5384,4.06,0.84,3.42,0.03,1.0,4.07,0.01
2,ENST00000373930,Park16_SRR3306589,104,2268,2.53,1.32,3.34,0.04,0.98,2.53,0.0
3,ENST00000373930,Park16_SRR3306588,362,4287,1.38,2.49,3.42,0.08,1.0,1.37,-0.01
4,ENST00000373930,Park16_SRR3306584,98,2355,2.79,1.2,3.35,0.04,0.98,2.79,0.0
0,ENST00000357503,Park16_SRR3306585,254,755,0.21,11.4,3.1,0.26,1.0,0.27,0.06
1,ENST00000357503,Park16_SRR3306586,56,1220,1.54,1.98,3.09,0.04,1.0,1.56,0.02
2,ENST00000357503,Park16_SRR3306587,77,920,0.85,3.56,3.09,0.08,0.99,0.87,0.02
3,ENST00000357503,Park16_SRR3306583,306,1311,0.3,8.43,3.11,0.19,1.0,0.37,0.07
4,ENST00000357503,Park16_SRR3306589,42,598,1.01,2.96,3.09,0.07,0.99,1.04,0.03
5,ENST00000357503,Park16_SRR3306588,75,757,0.71,3.98,3.11,0.09,1.0,0.78,0.07
6,ENST00000357503,Park16_SRR3306584,42,691,1.16,2.54,3.06,0.06,0.98,1.2,0.04
0,ENST00000327259,Park16_SRR3306589,8,85,1.0,1.69,1.72,0.09,1.0,1.02,0.02
1,ENST00000327259,Park16_SRR3306584,12,29,0.23,6.39,1.72,0.34,1.0,0.27,0.04
0,ENST00000311413,Park17_SRR5413158,9,45,0.65,2.34,1.65,0.16,0.98,0.71,0.06
1,ENST00000311413,Park17_SRR5413155,12,68,0.73,2.1,1.64,0.14,0.97,0.78,0.05
2,ENST00000311413,Park17_SRR5413156,24,46,0.25,4.79,1.65,0.33,0.98,0.34,0.09
3,ENST00000311413,Park17_SRR5413157,7,44,0.81,2.0,1.68,0.14,1.0,0.84,0.03
4,ENST00000311413,Park16_SRR3306585,32,263,1.06,1.58,1.68,0.11,1.0,1.06,0.0
5,ENST00000311413,Park16_SRR3306586,117,341,0.38,3.47,1.68,0.24,1.0,0.48,0.1
6,ENST00000311413,Park16_SRR3306587,210,645,0.4,3.42,1.67,0.23,0.99,0.49,0.09
7,ENST00000311413,Park16_SRR3306583,29,547,2.44,0.73,1.68,0.05,1.0,2.3,-0.14
8,ENST00000311413,Park16_SRR3306589,92,707,0.99,1.49,1.68,0.1,1.0,1.13,0.14
9,ENST00000311413,Park16_SRR3306588,91,847,1.2,1.31,1.68,0.09,1.0,1.28,0.08
10,ENST00000311413,Park16_SRR3306584,74,502,0.88,1.69,1.68,0.12,1.0,0.99,0.11
0,ENST00000545875,Park17_SRR5413158,8,124,0.85,1.18,1.0,0.07,1.0,0.85,0.0
1,ENST00000545875,Park17_SRR5413155,15,226,0.82,1.18,1.0,0.07,1.0,0.85,0.03
2,ENST00000545875,Park16_SRR3306587,42,1181,1.54,0.66,1.0,0.04,1.0,1.52,-0.02
3,ENST00000545875,Park16_SRR3306583,147,4506,1.67,0.58,1.0,0.03,1.0,1.72,0.05
4,ENST00000545875,Park16_SRR3306589,72,2022,1.53,0.66,1.0,0.04,1.0,1.52,-0.01
5,ENST00000545875,Park16_SRR3306588,94,4315,2.51,0.38,1.0,0.02,1.0,2.63,0.12
6,ENST00000545875,Park16_SRR3306584,56,1774,1.73,0.57,1.0,0.03,1.0,1.75,0.02
0,ENST00000550383,Park16_SRR3306585,549,762,0.44,3.48,1.54,0.25,0.35,0.44,0.0
1,ENST00000550383,Park16_SRR3306586,633,1791,0.89,1.84,1.63,0.13,0.37,0.89,0.0
2,ENST00000550383,Park16_SRR3306587,1001,1842,0.58,1.89,1.09,0.13,0.25,0.58,0.0
3,ENST00000550383,Park16_SRR3306583,1378,2085,0.48,3.15,1.49,0.22,0.34,0.47,-0.01
4,ENST00000550383,Park16_SRR3306589,994,2170,0.69,2.0,1.37,0.14,0.31,0.69,0.0
5,ENST00000550383,Park16_SRR3306588,1655,2982,0.57,4.43,2.49,0.31,0.57,0.56,-0.01
6,ENST00000550383,Park16_SRR3306584,743,1716,0.73,1.5,1.08,0.11,0.25,0.72,-0.01
0,ENST00000500893,Park17_SRR5413158,22,134,2.41,1.03,2.26,0.16,1.0,2.19,-0.22
1,ENST00000500893,Park17_SRR5413155,20,151,2.99,0.81,2.2,0.13,0.97,2.72,-0.27
2,ENST00000500893,Park17_SRR5413156,6,77,5.09,0.48,2.23,0.07,0.99,4.65,-0.44
3,ENST00000500893,Park17_SRR5413157,24,116,1.92,1.26,2.26,0.2,1.0,1.79,-0.13
4,ENST00000500893,Park16_SRR3306585,12,27,0.89,2.2,1.9,0.34,0.84,0.86,-0.03
5,ENST00000500893,Park16_SRR3306587,6,115,7.6,0.32,2.22,0.05,0.98,6.94,-0.66
6,ENST00000500893,Park16_SRR3306583,115,296,1.02,2.22,2.26,0.35,1.0,1.02,0.0
7,ENST00000500893,Park16_SRR3306589,29,266,3.64,0.65,2.25,0.1,1.0,3.46,-0.18
8,ENST00000500893,Park16_SRR3306588,52,178,1.36,1.45,2.26,0.23,1.0,1.56,0.2
9,ENST00000500893,Park16_SRR3306584,33,310,3.72,0.66,2.24,0.1,0.99,3.39,-0.33
0,ENST00000370548,Park17_SRR5413158,6,49,1.51,1.44,2.13,0.12,1.0,1.48,-0.03
1,ENST00000370548,Park17_SRR5413155,24,169,1.3,1.67,2.13,0.14,1.0,1.28,-0.02
2,ENST00000370548,Park17_SRR5413156,7,136,3.58,0.61,2.13,0.05,1.0,3.49,-0.09
3,ENST00000370548,Park16_SRR3306585,67,98,0.27,8.06,2.13,0.68,1.0,0.26,-0.01
4,ENST00000370548,Park16_SRR3306586,25,95,0.7,3.1,2.13,0.26,1.0,0.69,-0.01
5,ENST00000370548,Park16_SRR3306587,67,709,1.95,1.11,2.13,0.09,1.0,1.92,-0.03
6,ENST00000370548,Park16_SRR3306583,263,1201,0.84,2.58,2.13,0.22,1.0,0.83,-0.01
7,ENST00000370548,Park16_SRR3306589,183,1950,1.97,1.11,2.13,0.09,1.0,1.92,-0.05
8,ENST00000370548,Park16_SRR3306588,192,636,0.61,3.56,2.13,0.3,1.0,0.6,-0.01
9,ENST00000370548,Park16_SRR3306584,134,1568,2.16,1.01,2.13,0.09,1.0,2.11,-0.05
